Product,Source
McAfee ,https://kc.mcafee.com/corporate/index?page=content&id=KB95091
Metabase ,https://github.com/metabase/metabase/commit/8bfce98beb25e48830ac2bfd57432301c5e3ab37
Minecraft ,https://www.minecraft.net/en-us/article/important-message--security-vulnerability-java-edition
N,https://www.n-able.com/security-and-privacy/apache-log4j-vulnerability
NELSON ,https://github.com/getnelson/nelson/blob/f4d3dd1f1d4f8dfef02487f67aefb9c60ab48bf5/project/custom.scala
NetApp ,https://security.netapp.com/advisory/ntap-20211210-0007/
Netflix ,https://github.com/search?q=org%3ANetflix+CVE-2021-44228&type=commits
Newrelic ,https://github.com/newrelic/newrelic-java-agent/issues/605
Okta ,https://sec.okta.com/articles/2021/12/log4shell
OpenHab ,https://github.com/openhab/openhab-distro/pull/1343
OpenNMS ,https://www.opennms.com/en/blog/2021-12-10-opennms-products-affected-by-apache-log4j-vulnerability-cve-2021-44228/
OpenSearch ,https://discuss.opendistrocommunity.dev/t/log4j-patch-for-cve-2021-44228/7950
Oracle ,https://www.oracle.com/security-alerts/alert-cve-2021-44228.html
Palo,https://security.paloaltonetworks.com/CVE-2021-44228
PaperCut ,https://www.papercut.com/support/known-issues/#PO-684
Positive Technologies ,https://twitter.com/ptsecurity/status/1469398376978522116
Pulse Secure ,https://kb.pulsesecure.net/articles/Pulse_Secure_Article/KB44933/?kA13Z000000L3dR
Puppet ,https://puppet.com/blog/puppet-response-to-remote-code-execution-vulnerability-cve-2021-44228/
Pure Storage ,https://support.purestorage.com/Field_Bulletins/Interim_Security_Advisory_Regarding_CVE-2021-44228_(%22log4j%22)
RedHat ,https://access.redhat.com/security/cve/cve-2021-44228
RunDeck by PagerDuty ,https://docs.rundeck.com/docs/history/CVEs/
RSA ,https://community.rsa.com/t5/general-security-advisories-and/rsa-customer-advisory-apache-vulnerability-log4j2-cve-2021-44228/ta-p/660501
Rubrik ,https://support.rubrik.com/s/announcementdetail?Id=a406f000001PwOcAAK
SailPoint ,https://community.sailpoint.com/t5/IdentityIQ-Blog/IdentityIQ-log4j-Remote-Code-Execution-Vulnerability/ba-p/206681
Salesforce ,https://help.salesforce.com/s/articleView?id=000363736&type=1
Security Onion ,https://blog.securityonion.net/2021/12/security-onion-2390-20211210-hotfix-now.html
ServiceNow ,https://support.servicenow.com/kb?id=kb_article_view&sysparm_article=KB1000959
Sesam Info ,https://twitter.com/sesam_info/status/1469711992122486791
SmileCDR ,https://www.smilecdr.com/our-blog/a-statement-on-log4shell-cve-2021-44228
Sophos ,https://www.sophos.com/en-us/security-advisories/sophos-sa-20211210-log4j-rce
SonarSource ,https://community.sonarsource.com/t/sonarqube-and-the-log4j-vulnerability/54721
SonicWall ,https://psirt.global.sonicwall.com/vuln-detail/SNWLID-2021-0032
Spring Boot ,https://spring.io/blog/2021/12/10/log4j2-vulnerability-and-spring-boot
SUSE ,https://www.suse.com/security/cve/CVE-2021-44228.html
Sterling Order IBM ,https://www.ibm.com/support/pages/node/6525544
Swingset ,https://github.com/bpangburn/swingset/blob/017452b2d0d8370871f43a68043dacf53af7f759/swingset/CHANGELOG.txt#L10
Talend ,https://jira.talendforge.org/browse/TCOMP-2054
Tanium ,https://community.tanium.com/s/article/How-Tanium-Can-Help-with-CVE-2021-44228-Log4Shell
TrendMicro ,https://success.trendmicro.com/solution/000289940
Ubiquiti,https://community.ui.com/releases/UniFi-Network-Application-6-5-54/d717f241-48bb-4979-8b10-99db36ddabe1
Vespa ENGINE ,https://github.com/vespa-engine/blog/blob/f281ce4399ed3e97b4fed32fcc36f9ba4b17b1e2/_posts/2021-12-10-log4j-vulnerability.md
VMware ,https://www.vmware.com/security/advisories/VMSA-2021-0028.html
Wallarm ,https://lab.wallarm.com/cve-2021-44228-mitigation-update/
Wowza ,https://www.wowza.com/docs/known-issues-with-wowza-streaming-engine#log4j2-cve
Yandex,https://github.com/yandex-cloud/docs/blob/6ff6c676787756e7dd6101c53b051e4cd04b3e85/ru/overview/security-bulletins/index.md#10122021--cve-2021-44228--%D1%83%D0%B4%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5-%D0%B2%D1%8B%D0%BF%D0%BE%D0%BB%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BA%D0%BE%D0%B4%D0%B0-log4shell-apache-log4j
ZAMMAD ,https://community.zammad.org/t/cve-2021-44228-elasticsearch-users-be-aware/8256
Zaproxy ,https://www.zaproxy.org/blog/2021-12-10-zap-and-log4shell/
